Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rate,Critic_score,Critic_positive_reviews,Critic_mixed_reviews,Critic_negative_reviews,User_score,User_positive_reviews,User_mixed_reviews,User_negative_reviews,Type
Sonic Generations,X360,2011.0,Platform,Sega,0.71,0.57,0.0,0.14,1.42,Sonic Team,E,77.0,35.0,14.0,0.0,8.5,630.0,89.0,40.0,Salon
Dead Space,X360,2008.0,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,EA Redwood Shores,M,89.0,76.0,3.0,0.0,8.7,780.0,76.0,19.0,Salon
Resident Evil (Remake),GC,2002.0,Action,Capcom,0.63,0.38,0.35,0.05,1.42,Capcom,M,91.0,34.0,1.0,0.0,9.5,1300.0,34.0,38.0,Salon
LEGO Star Wars II: The Original Trilogy,PSP,2006.0,Action,LucasArts,0.58,0.51,0.0,0.32,1.41,Traveller's Tales,E10+,83.0,11.0,0.0,0.0,7.7,29.0,10.0,4.0,Portable
Fight Night Round 4,X360,2009.0,Fighting,Electronic Arts,0.95,0.34,0.0,0.13,1.41,EA Canada,T,87.0,75.0,1.0,0.0,8.0,37.0,8.0,4.0,Salon
Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41,NetherRealm Studios,T,81.0,56.0,7.0,0.0,7.8,341.0,103.0,39.0,Salon
Ridge Racer,PSP,2004.0,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41,Namco,E,88.0,57.0,1.0,0.0,8.1,29.0,9.0,1.0,Portable
Metroid: Other M,Wii,2010.0,Action,Nintendo,0.87,0.31,0.13,0.1,1.41,Team Ninja,T,79.0,54.0,17.0,0.0,6.7,363.0,148.0,169.0,Salon
Twisted Metal: Black,PS2,2001.0,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,1.41,Incognito Inc.,M,91.0,15.0,0.0,0.0,8.2,112.0,22.0,8.0,Salon
Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.82,0.47,0.0,0.12,1.4,Treyarch,M,80.0,20.0,5.0,0.0,6.2,54.0,22.0,31.0,Salon
Spider-Man: The Movie,XB,2002.0,Action,Activision,1.07,0.28,0.0,0.05,1.4,Treyarch,E,79.0,21.0,7.0,1.0,7.5,17.0,11.0,3.0,Salon
Far Cry 2,PS3,2008.0,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4,Ubisoft Montreal,M,85.0,43.0,6.0,0.0,6.2,90.0,104.0,48.0,Salon
Sonic Advance 3,GBA,2004.0,Platform,THQ,0.74,0.52,0.08,0.06,1.4,Dimps Corporation,E,79.0,21.0,9.0,0.0,8.0,59.0,27.0,5.0,Portable
Battlefield 4,PC,2013.0,Shooter,Electronic Arts,0.38,0.86,0.0,0.16,1.4,EA DICE,M,81.0,42.0,10.0,0.0,6.3,2200.0,972.0,1200.0,Salon
Colin McRae Rally 3,PS2,2002.0,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4,Codemasters,E,86.0,23.0,2.0,0.0,7.6,20.0,12.0,2.0,Salon
Doom (2016),PS4,2016.0,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39,Panic Button,M,85.0,57.0,4.0,0.0,8.4,2200.0,296.0,173.0,Salon
Final Fantasy XII: Revenant Wings,DS,2007.0,Role-Playing,Square Enix,0.34,0.42,0.54,0.1,1.39,Think and Feel,E10+,81.0,37.0,7.0,0.0,7.1,33.0,23.0,8.0,Portable
Bakugan: Battle Brawlers,DS,2009.0,Action,Activision,1.27,0.02,0.0,0.09,1.39,Now Production,E,60.0,0.0,6.0,0.0,7.4,16.0,8.0,4.0,Portable
Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39,Eidos Montreal,M,89.0,50.0,0.0,0.0,8.3,635.0,89.0,55.0,Salon
Dynasty Warriors 5,PS2,2005.0,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39,Omega Force,T,69.0,10.0,19.0,0.0,7.7,22.0,14.0,3.0,Salon
WWE '13,PS3,2012.0,Action,THQ,0.51,0.62,0.0,0.26,1.39,Yuke's,T,76.0,17.0,7.0,0.0,8.1,91.0,27.0,7.0,Salon
Deus Ex: Human Revolution,X360,2011.0,Shooter,Square Enix,0.76,0.48,0.02,0.12,1.39,Eidos Montreal,M,89.0,67.0,3.0,0.0,8.3,759.0,145.0,45.0,Salon
True Crime: Streets of LA,XB,2003.0,Action,Activision,0.96,0.37,0.0,0.05,1.38,"Luxoflux, Inc.",M,77.0,26.0,12.0,1.0,7.5,13.0,6.0,3.0,Salon
The Sims 2,PSP,2005.0,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38,Maxis,T,65.0,6.0,10.0,1.0,7.8,19.0,10.0,4.0,Portable
Paper Mario,N64,2000.0,Role-Playing,Nintendo,0.58,0.18,0.59,0.02,1.38,Intelligent Systems,E,93.0,15.0,0.0,0.0,8.8,529.0,26.0,29.0,Salon
Titanfall,X360,2014.0,Shooter,Electronic Arts,0.87,0.38,0.02,0.11,1.38,Respawn Entertainment,M,83.0,19.0,2.0,0.0,6.1,206.0,66.0,125.0,Salon
Persona 4: Golden,PSV,2012.0,Role-Playing,Atlus,0.46,0.34,0.38,0.21,1.38,Atlus,M,93.0,61.0,0.0,0.0,9.1,1900.0,104.0,92.0,Portable
Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.57,0.15,0.22,1.38,Blue Castle Games,M,80.0,44.0,10.0,0.0,6.8,103.0,63.0,39.0,Salon
Gardening Mama,DS,2009.0,Puzzle,505 Games,0.8,0.43,0.01,0.13,1.38,Office Create,E,60.0,1.0,12.0,4.0,8.3,5.0,0.0,1.0,Portable
Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,"Z-Axis, Ltd.",T,81.0,16.0,5.0,0.0,7.7,9.0,3.0,1.0,Salon
Need for Speed: The Run,X360,2011.0,Action,Electronic Arts,0.63,0.58,0.0,0.15,1.38,EA Black Box,T,68.0,28.0,35.0,2.0,6.6,118.0,60.0,55.0,Salon
Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37,Ubisoft Sofia,M,72.0,19.0,34.0,0.0,7.3,364.0,218.0,76.0,Salon
Ridge Racer 7,PS3,2006.0,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37,Namco Bandai Games,E,78.0,36.0,9.0,0.0,7.9,38.0,10.0,6.0,Salon
Forza Horizon 2,XOne,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37,Playground Games,E,86.0,81.0,3.0,1.0,8.4,1000.0,80.0,132.0,Salon
MotorStorm: Pacific Rift,PS3,2008.0,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37,Evolution Studios,T,82.0,54.0,9.0,0.0,8.3,138.0,34.0,4.0,Salon
Sonic Colors,DS,2010.0,Platform,Sega,0.74,0.5,0.01,0.13,1.37,Sonic Team,E,79.0,20.0,6.0,0.0,8.0,96.0,29.0,11.0,Portable
Star Wars Knights of the Old Republic II: The Sith Lords,XB,2004.0,Role-Playing,Activision,0.99,0.33,0.0,0.05,1.37,Obsidian Entertainment,T,86.0,61.0,6.0,0.0,8.8,213.0,27.0,7.0,Salon
LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.55,0.6,0.0,0.22,1.37,Traveller's Tales,E10+,79.0,33.0,9.0,0.0,7.5,48.0,15.0,7.0,Salon
Tom Clancy's Ghost Recon 2,XB,2004.0,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36,Red Storm Entertainment,T,80.0,43.0,10.0,0.0,4.8,4.0,1.0,5.0,Salon
Crash Bandicoot 2: N-Tranced,GBA,2003.0,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36,Vicarious Visions,E,75.0,12.0,8.0,1.0,7.8,70.0,24.0,7.0,Portable
Burnout Paradise,X360,2008.0,Racing,Electronic Arts,0.63,0.58,0.01,0.15,1.36,Criterion Games,E10+,88.0,68.0,0.0,0.0,7.6,164.0,83.0,18.0,Salon
Yoshi's New Island,3DS,2014.0,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36,Arzest,E,64.0,16.0,51.0,4.0,6.1,84.0,64.0,64.0,Portable
Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36,Crytek,M,60.0,8.0,60.0,9.0,6.5,929.0,477.0,461.0,Salon
Dead to Rights,PS2,2002.0,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36,Namco,M,73.0,10.0,10.0,0.0,6.5,8.0,9.0,2.0,Salon
LEGO Harry Potter: Years 5-7,Wii,2011.0,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36,Traveller's Tales,E10+,76.0,4.0,4.0,0.0,7.5,15.0,3.0,3.0,Salon
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35,Capcom,T,84.0,52.0,4.0,0.0,7.3,95.0,50.0,16.0,Salon
Dance Dance Revolution (Japan),PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35,Konami,E,90.0,8.0,0.0,0.0,3.3,5.0,4.0,13.0,Salon
F1 2010,PS3,2010.0,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35,Codemasters Birmingham,E,84.0,43.0,3.0,0.0,8.1,78.0,25.0,7.0,Salon
FIFA Soccer 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,EA Canada,E,84.0,8.0,0.0,0.0,4.3,3.0,4.0,5.0,Portable
Namco Museum DS,DS,2007.0,Misc,Atari,1.18,0.01,0.06,0.09,1.35,M2,E,67.0,3.0,15.0,1.0,5.8,4.0,5.0,3.0,Portable
Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35,Rockstar Leeds,M,93.0,85.0,0.0,0.0,7.6,222.0,70.0,43.0,Portable
Alan Wake,X360,2010.0,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35,Remedy Entertainment,T,83.0,87.0,13.0,0.0,8.3,1000.0,213.0,61.0,Salon
Battlefield: Bad Company,PS3,2008.0,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35,EA DICE,T,84.0,48.0,2.0,0.0,8.0,120.0,52.0,4.0,Salon
Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35,NetherRealm Studios,M,86.0,21.0,0.0,0.0,7.6,277.0,66.0,55.0,Salon
Samurai Warriors,PS2,2004.0,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35,Omega Force,T,73.0,20.0,17.0,0.0,7.9,13.0,5.0,1.0,Salon
The Simpsons: Hit & Run,XB,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35,Radical Entertainment,T,81.0,27.0,3.0,0.0,8.7,30.0,3.0,1.0,Salon
Devil May Cry 4,X360,2008.0,Action,Capcom,0.79,0.34,0.08,0.13,1.35,Capcom,M,84.0,54.0,7.0,0.0,8.2,170.0,50.0,14.0,Salon
Tom Clancy's Rainbow Six: Vegas 2,PS3,2008.0,Shooter,Ubisoft,0.66,0.45,0.04,0.21,1.35,Ubisoft Montreal,M,81.0,28.0,4.0,0.0,7.6,29.0,14.0,3.0,Salon
Monster Hunter Freedom,PSP,2005.0,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35,Capcom,T,71.0,14.0,18.0,2.0,6.2,14.0,4.0,9.0,Portable
Crysis 2,X360,2011.0,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35,Crytek,M,84.0,66.0,6.0,0.0,7.6,462.0,184.0,73.0,Salon
The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35,Bluepoint Games,T,92.0,58.0,0.0,0.0,8.7,635.0,53.0,53.0,Salon
Test Drive,PS2,2002.0,Racing,Atari,0.95,0.21,0.01,0.18,1.34,Pitbull Syndicate,T,73.0,9.0,10.0,0.0,7.7,9.0,9.0,0.0,Salon
Mario & Luigi: Partners in Time,DS,2005.0,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.34,Alphadream Corporation,E,86.0,43.0,2.0,0.0,8.5,225.0,34.0,8.0,Portable
Lost Planet: Extreme Condition,X360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34,Capcom,T,79.0,59.0,17.0,0.0,6.8,54.0,58.0,16.0,Salon
Doom 3,XB,2005.0,Shooter,Activision,0.85,0.43,0.0,0.06,1.34,id Software,M,88.0,66.0,5.0,0.0,8.4,76.0,11.0,6.0,Salon
Donkey Kong Jungle Beat,GC,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34,Nintendo EAD Tokyo,E10+,80.0,41.0,8.0,0.0,8.1,31.0,11.0,1.0,Salon
Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34,EA Canada,E10+,74.0,13.0,12.0,1.0,8.1,77.0,26.0,4.0,Salon
Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34,Remedy Entertainment,M,73.0,13.0,13.0,1.0,8.2,65.0,16.0,5.0,Salon
Command & Conquer: Red Alert 2,PC,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,Westwood Studios,T,84.0,26.0,3.0,0.0,8.8,465.0,48.0,15.0,Salon
MVP Baseball 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34,EA Sports,E,90.0,27.0,1.0,0.0,7.8,5.0,0.0,1.0,Salon
WWE SmackDown vs Raw 2008,PS3,2007.0,Fighting,THQ,0.62,0.5,0.01,0.21,1.33,Yuke's,T,74.0,15.0,12.0,0.0,7.3,14.0,16.0,2.0,Salon
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004.0,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33,Insomniac Games,T,91.0,63.0,2.0,0.0,9.0,566.0,33.0,26.0,Salon
Your Shape: Fitness Evolved,X360,2010.0,Sports,Ubisoft,0.79,0.42,0.0,0.11,1.33,Ubisoft Montreal,E,73.0,21.0,11.0,0.0,8.1,16.0,7.0,0.0,Salon
Rage,PS3,2011.0,Shooter,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33,id Software,M,81.0,31.0,6.0,0.0,6.3,188.0,114.0,90.0,Salon
Skylanders SWAP Force,X360,2013.0,Platform,Activision,0.86,0.36,0.0,0.11,1.33,Vicarious Visions,E10+,83.0,34.0,3.0,0.0,6.9,49.0,11.0,16.0,Salon
NBA 2K14,PS4,2013.0,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33,Visual Concepts,E,85.0,19.0,1.0,0.0,6.5,226.0,60.0,105.0,Salon
Metroid Prime 2: Echoes,GC,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33,Retro Studios,T,92.0,60.0,0.0,0.0,8.8,396.0,26.0,24.0,Salon
UFC Undisputed 2010,X360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.33,Yuke's,T,84.0,65.0,5.0,0.0,6.8,21.0,19.0,7.0,Salon
Final Fantasy X / X-2 HD Remaster,PS3,2013.0,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33,Virtuos,T,85.0,47.0,3.0,0.0,8.2,458.0,49.0,69.0,Salon
Corvette,PS2,2004.0,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,Steel Monkeys,E,57.0,2.0,9.0,4.0,5.6,3.0,2.0,3.0,Salon
Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33,Creatures Inc.,E,68.0,5.0,20.0,0.0,8.0,44.0,19.0,1.0,Portable
Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32,Monolith Productions,M,87.0,12.0,0.0,0.0,8.0,612.0,86.0,76.0,Salon
Need for Speed Underground Rivals,PSP,2005.0,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32,Team Fusion,E,74.0,22.0,13.0,1.0,7.4,22.0,11.0,4.0,Portable
LEGO Batman: The Videogame,PS3,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.42,0.0,0.19,1.32,Traveller's Tales,E10+,75.0,14.0,10.0,0.0,8.5,69.0,15.0,3.0,Salon
Dark Souls II,PS3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32,From Software,T,91.0,67.0,2.0,0.0,7.8,1400.0,363.0,236.0,Salon
World of Warcraft: Wrath of the Lich King,PC,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,Blizzard Entertainment,T,91.0,47.0,0.0,0.0,8.2,1100.0,189.0,118.0,Salon
The LEGO Movie Videogame,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32,TT Games,E10+,69.0,2.0,6.0,0.0,7.5,26.0,8.0,5.0,Salon
NFL 2K3,PS2,2002.0,Sports,Atari,1.06,0.08,0.0,0.18,1.32,Visual Concepts,E,93.0,20.0,0.0,0.0,6.1,5.0,0.0,3.0,Salon
Skylanders Giants,X360,2012.0,Action,Activision,0.75,0.45,0.0,0.11,1.32,Toys for Bob,E10+,80.0,30.0,5.0,0.0,7.5,62.0,9.0,13.0,Salon
LEGO Batman: The Videogame,PSP,2008.0,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32,Traveller's Tales,E10+,73.0,2.0,3.0,0.0,7.8,17.0,5.0,2.0,Portable
The Beatles: Rock Band,X360,2009.0,Misc,MTV Games,0.97,0.23,0.0,0.11,1.31,Harmonix Music Systems,T,89.0,75.0,1.0,0.0,8.1,51.0,13.0,5.0,Salon
Tekken 6,X360,2009.0,Fighting,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31,Namco Bandai Games,T,80.0,45.0,14.0,0.0,7.1,60.0,29.0,19.0,Salon
[Prototype],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31,Radical Entertainment,M,78.0,62.0,21.0,0.0,7.5,145.0,82.0,20.0,Salon
Deal or No Deal,Wii,2009.0,Misc,Zoo Games,1.22,0.0,0.0,0.09,1.31,Artefacts Studio,E,56.0,0.0,3.0,1.0,5.0,2.0,0.0,3.0,Salon
LEGO Battles,DS,2009.0,Strategy,Warner Bros. Interactive Entertainment,0.81,0.38,0.0,0.12,1.31,Hellbent Games,E,65.0,5.0,23.0,1.0,7.5,21.0,4.0,5.0,Portable
Turok: Evolution,PS2,2002.0,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31,Acclaim Studios Austin,M,61.0,4.0,11.0,5.0,6.7,12.0,9.0,4.0,Salon
Burnout 3: Takedown,XB,2004.0,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,Criterion Games,T,94.0,76.0,0.0,0.0,8.8,201.0,23.0,5.0,Salon
Yu-Gi-Oh! The Sacred Cards,GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,Konami,E,60.0,4.0,4.0,2.0,7.1,7.0,13.0,2.0,Portable
Crysis 2,PS3,2011.0,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3,Crytek,M,85.0,50.0,4.0,0.0,7.3,284.0,125.0,61.0,Salon
Saints Row IV,PS3,2013.0,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3,Volition Inc.,M,76.0,19.0,7.0,0.0,6.3,160.0,78.0,83.0,Salon
SingStar '80s,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3,SCEE London Studio,T,78.0,16.0,6.0,0.0,7.3,3.0,3.0,0.0,Salon
EA Playground,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3,EA Canada,E,66.0,7.0,22.0,3.0,6.9,2.0,5.0,1.0,Salon
EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3,EA Canada,E,79.0,7.0,1.0,0.0,6.9,7.0,3.0,3.0,Salon
Rise of the Tomb Raider,XOne,2015.0,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3,Crystal Dynamics,M,86.0,96.0,6.0,0.0,8.1,1400.0,174.0,204.0,Salon
Need for Speed Carbon,Wii,2006.0,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29,EA Canada,E10+,67.0,5.0,15.0,1.0,7.2,12.0,4.0,3.0,Salon
Yoshi's Woolly World,WiiU,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29,Good-Feel,E,78.0,63.0,20.0,0.0,8.5,403.0,66.0,30.0,Portable
FIFA Street,PS3,2012.0,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29,EA Sports,E,76.0,26.0,8.0,2.0,6.7,44.0,30.0,15.0,Salon
Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,Ubisoft,0.73,0.44,0.0,0.12,1.29,Ubisoft Montreal,M,74.0,13.0,11.0,0.0,7.1,273.0,79.0,76.0,Salon
Transformers,PS2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,Melbourne House,T,75.0,32.0,19.0,0.0,8.5,25.0,2.0,1.0,Salon
Guitar Hero: Aerosmith,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,0.1,1.29,Neversoft Entertainment,T,73.0,9.0,7.0,0.0,6.8,5.0,3.0,2.0,Salon
Valkyria Chronicles,PS3,2008.0,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29,Sega,T,86.0,59.0,1.0,0.0,8.6,296.0,34.0,18.0,Salon
Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,Rockstar San Diego,E10+,84.0,37.0,4.0,0.0,8.8,105.0,5.0,7.0,Salon
Champions of Norrath,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,Snowblind Studios,T,85.0,46.0,5.0,0.0,8.3,49.0,8.0,4.0,Salon
Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,Kojima Productions,M,75.0,40.0,30.0,0.0,6.5,772.0,469.0,375.0,Salon
Assassin's Creed Syndicate,XOne,2015.0,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28,Ubisoft Quebec,M,78.0,17.0,5.0,0.0,6.4,307.0,159.0,149.0,Salon
WWE '13,X360,2012.0,Action,THQ,0.72,0.45,0.0,0.11,1.28,Yuke's,T,78.0,35.0,11.0,0.0,8.0,105.0,33.0,11.0,Salon
Manhunt,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,Rockstar North,M,76.0,34.0,9.0,4.0,8.3,173.0,41.0,8.0,Salon
Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28,Project Sora,E10+,83.0,66.0,8.0,1.0,8.7,579.0,63.0,28.0,Portable
Silent Hill 2,PS2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,KCET,M,89.0,31.0,3.0,0.0,8.8,1800.0,51.0,172.0,Salon
Tomb Raider: Underworld,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27,Crystal Dynamics,T,75.0,26.0,16.0,0.0,7.2,52.0,54.0,11.0,Salon
Castlevania: Symphony of the Night,PS,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27,Digital Eclipse,T,93.0,12.0,0.0,0.0,9.1,766.0,25.0,38.0,Salon
The Sims 2: Nightlife,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,Maxis,T,76.0,17.0,14.0,0.0,4.5,17.0,3.0,18.0,Salon
LEGO Batman: The Videogame,PS2,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27,Traveller's Tales,E10+,77.0,6.0,2.0,0.0,8.5,43.0,9.0,1.0,Salon
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27,Spike Chunsoft,E,59.0,9.0,28.0,9.0,6.4,86.0,64.0,49.0,Portable
NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27,Visual Concepts,E,84.0,30.0,2.0,0.0,6.3,7.0,3.0,5.0,Salon
WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,Yuke's,T,71.0,29.0,20.0,3.0,6.5,51.0,47.0,22.0,Salon
Tony Hawk's Underground,XB,2003.0,Sports,Activision,0.85,0.37,0.0,0.05,1.27,Neversoft Entertainment,T,85.0,28.0,5.0,0.0,6.5,12.0,0.0,5.0,Salon
.hack//Infection Part 1,PS2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,CyberConnect2,T,75.0,23.0,12.0,0.0,7.5,23.0,5.0,4.0,Salon
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.73,0.0,0.15,1.27,Rockstar San Diego,E,68.0,10.0,25.0,1.0,7.1,3.0,4.0,1.0,Salon
Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27,Sonic Team,E,57.0,1.0,20.0,6.0,7.9,212.0,83.0,21.0,Salon
Yokai Watch 3,3DS,2016.0,Action,Level 5,0.0,0.0,1.27,0.0,1.27,Level 5,E10+,80.0,22.0,4.0,0.0,8.6,101.0,4.0,12.0,Portable
Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,1.26,NanaOn-Sha,E,59.0,1.0,13.0,6.0,8.0,2.0,2.0,0.0,Portable
Football Manager 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26,Sports Interactive,E,85.0,22.0,1.0,0.0,8.5,87.0,8.0,4.0,Salon
Final Fantasy IV,DS,2007.0,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26,Matrix Software,E10+,85.0,47.0,5.0,0.0,7.4,140.0,31.0,29.0,Portable
Hyrule Warriors,WiiU,2014.0,Action,Nintendo,0.61,0.42,0.13,0.1,1.26,Omega Force,T,76.0,52.0,27.0,2.0,8.3,577.0,112.0,48.0,Portable
Need for Speed Carbon,PS3,2006.0,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26,EA Canada,E10+,75.0,21.0,10.0,0.0,7.8,36.0,21.0,2.0,Salon
Ratatouille,DS,2007.0,Action,THQ,0.5,0.62,0.0,0.14,1.26,Helixe,E,64.0,0.0,9.0,1.0,7.2,4.0,5.0,0.0,Portable
LEGO The Lord of the Rings,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26,TT Games,E10+,80.0,42.0,7.0,0.0,7.9,116.0,40.0,10.0,Salon
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008.0,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25,Slant Six,M,63.0,13.0,45.0,6.0,5.5,7.0,11.0,9.0,Salon
